2014-07-24 15:08:27 [main:0] - [DEBUG] Created connection 536150103.
2014-07-24 15:08:27 [main:15] - [DEBUG] {conn-100000} Connection
2014-07-24 15:08:27 [main:17] - [DEBUG] {conn-100000} Preparing Statement:   SELECT JO.TK_HIN ,JO.SYUYO_SU ,JO.ZAIKO_SU ,JO.LOC_ZAIKO_SU  ,JO.HIKI_ZAIKO_SU  ,JO.SEBAN ,JO.LST_NOU_YMD,JO.LST_HAN_YMD  ,(NVL(NOU.SUM_SIJI_SU,0) - NVL(NOU.SUM_HIKI_SU,0)) AS FUSOKU_SU  ,M01.KANRI_KOJO ,M01.S_KYOTEN ,M01.SEIZO_BA ,M01.LOCATION  ,M01.HAKO_SYU ,M01.TK_UKE ,M01.TK_SEBAN  ,NVL(RI.SIJI_SU,0) AS HAN_SU  FROM TB_ZAIKO_JO JO  ,TB_HINBAN_MA M01  ,(SELECT TK_HIN,SYUYO_SU,SUM(SIJI_SU) AS SUM_SIJI_SU ,SUM(HIKI_SU) AS  SUM_HIKI_SU  FROM TB_NOUHIN_JO GROUP BY TK_HIN ,SYUYO_SU  ) NOU ,(SELECT TK_HIN ,SYUYO_SU ,SUM(SIJI_SU) AS SIJI_SU  FROM TB_HANNYU_RI  GROUP BY TK_HIN ,SYUYO_SU  ) RI  WHERE   JO.TK_HIN = M01.TK_HIN  AND JO.SYUYO_SU = M01.SYUYO_SU  AND JO.TK_HIN = NOU.TK_HIN(+)  AND JO.SYUYO_SU = NOU.SYUYO_SU(+)  AND JO.TK_HIN = RI.TK_HIN(+)  AND JO.SYUYO_SU = RI.SYUYO_SU(+)  ORDER BY JO.TK_HIN ,JO.SYUYO_SU   
2014-07-24 15:08:27 [main:149] - [DEBUG] {pstm-100001} Executing Statement:   SELECT JO.TK_HIN ,JO.SYUYO_SU ,JO.ZAIKO_SU ,JO.LOC_ZAIKO_SU  ,JO.HIKI_ZAIKO_SU  ,JO.SEBAN ,JO.LST_NOU_YMD,JO.LST_HAN_YMD  ,(NVL(NOU.SUM_SIJI_SU,0) - NVL(NOU.SUM_HIKI_SU,0)) AS FUSOKU_SU  ,M01.KANRI_KOJO ,M01.S_KYOTEN ,M01.SEIZO_BA ,M01.LOCATION  ,M01.HAKO_SYU ,M01.TK_UKE ,M01.TK_SEBAN  ,NVL(RI.SIJI_SU,0) AS HAN_SU  FROM TB_ZAIKO_JO JO  ,TB_HINBAN_MA M01  ,(SELECT TK_HIN,SYUYO_SU,SUM(SIJI_SU) AS SUM_SIJI_SU ,SUM(HIKI_SU) AS  SUM_HIKI_SU  FROM TB_NOUHIN_JO GROUP BY TK_HIN ,SYUYO_SU  ) NOU ,(SELECT TK_HIN ,SYUYO_SU ,SUM(SIJI_SU) AS SIJI_SU  FROM TB_HANNYU_RI  GROUP BY TK_HIN ,SYUYO_SU  ) RI  WHERE   JO.TK_HIN = M01.TK_HIN  AND JO.SYUYO_SU = M01.SYUYO_SU  AND JO.TK_HIN = NOU.TK_HIN(+)  AND JO.SYUYO_SU = NOU.SYUYO_SU(+)  AND JO.TK_HIN = RI.TK_HIN(+)  AND JO.SYUYO_SU = RI.SYUYO_SU(+)  ORDER BY JO.TK_HIN ,JO.SYUYO_SU   
2014-07-24 15:08:27 [main:150] - [DEBUG] {pstm-100001} Parameters: []
2014-07-24 15:08:27 [main:150] - [DEBUG] {pstm-100001} Types: []
2014-07-24 15:08:28 [main:683] - [DEBUG] {rset-100002} ResultSet
2014-07-24 15:08:28 [main:703] - [DEBUG] {rset-100002} Header: [TK_UKE, TK_SEBAN, TK_HIN, SYUYO_SU, ZAIKO_SU, LOC_ZAIKO_SU, HIKI_ZAIKO_SU, FUSOKU_SU, KANRI_KOJO, S_KYOTEN, SEIZO_BA, SEBAN, HAN_SU, LOCATION, LST_NOU_YMD, LST_HAN_YMD]
2014-07-24 15:08:28 [main:703] - [DEBUG] {rset-100002} Result: [C5   , 0201, 0199330005               , 15, 0, 0, 0, 0, 2592, 0301,     ,           , 0, C5-0201  , 20100721, 20100714]
2014-07-24 15:08:28 [main:703] - [DEBUG] {rset-100002} Result: [C5   , 0009, 0199350008               , 15, 330, 300, 240, 0, 2592, 0301,     ,           , 960, C5-0009  , 20140522, 20140522]
2014-07-24 15:08:28 [main:704] - [DEBUG] {rset-100002} Result: [C5   , 0200, 0199353001               , 15, 30, 30, 30, 0, 2592, 0301,     ,           , 0, C5-0200  , 20140307, 20140327]
2014-07-24 15:08:28 [main:704] - [DEBUG] {rset-100002} Result: [N1   , 0007, 1729930090               , 21, 42, 42, 21, 0, 2592, SH1 ,     , KN1007    , 588, N1-0007  , 20140523, 20140523]
2014-07-24 15:08:28 [main:705] - [DEBUG] {rset-100002} Result: [W5   , 0021, 5101735161               , 40, 40, 40, 40, 0, 2592, SH1 ,     , KW5021    , 80, W5-0021  , 20140423, 20140507]
2014-07-24 15:08:28 [main:705] - [DEBUG] {rset-100002} Result: [W5   , 0022, 5101760101               , 80, 0, 0, 0, 0, 2592, SH1 ,     , KW5022    , 0, W5-0022  , 20090817, 20090903]
2014-07-24 15:08:28 [main:706] - [DEBUG] {rset-100002} Result: [W5   , 0010, 5101760120               , 80, 80, 80, 80, 0, 2592, SH1 ,     , KW5010    , 480, W5-0010  , 20140521, 20140523]
2014-07-24 15:08:28 [main:706] - [DEBUG] {rset-100002} Result: [W5   , 0023, 5101760131               , 40, 1240, 400, -880, 880, 2592, SH1 ,     , KW5023    , 40680, W5-0023  , 20140523, 20140523]
2014-07-24 15:08:28 [main:708] - [DEBUG] {rset-100002} Result: [W5   , 0012, 510B260010               , 32, 448, 32, -640, 640, 2592, SH1 ,     , KW5012    , 20480, W5-0012  , 20140523, 20140523]
2014-07-24 15:08:28 [main:712] - [DEBUG] {rset-100002} Result: [W5   , 0013, 510C160010               , 140, 840, 420, -140, 140, 2592, SH1 ,     , KW5013    , 20440, W5-0013  , 20140523, 20140523]
2014-07-24 15:08:28 [main:713] - [DEBUG] {rset-100002} Result: [W5   , 0003, 5110535010               , 40, 0, 0, 0, 0, 2592, SH1 ,     ,           , 0, W5-0003  , 20090730, 20090728]
2014-07-24 15:08:28 [main:713] - [DEBUG] {rset-100002} Result: [W5   , 0024, 5110560021               , 40, 1240, 400, -920, 920, 2592, SH1 ,     , KW5024    , 40720, W5-0024  , 20140523, 20140523]
2014-07-24 15:08:28 [main:714] - [DEBUG] {rset-100002} Result: [W5   , 0005, 5110560030               , 40, 0, 0, 0, 0, 2592, SH1 ,     ,           , 0, W5-0005  , 20101119, 20101118]
2014-07-24 15:08:28 [main:714] - [DEBUG] {rset-100002} Result: [W5   , 0004, 5111560020               , 80, 80, 80, 80, 0, 2592, SH1 ,     ,           , 480, W5-0004  , 20140522, 20140523]
2014-07-24 15:08:28 [main:715] - [DEBUG] {rset-100002} Result: [W5   , 0015, 5114660140               , 140, 840, 420, -140, 140, 2592, SH1 ,     , KW5015    , 20300, W5-0015  , 20140523, 20140523]
2014-07-24 15:08:28 [main:735] - [DEBUG] {rset-100002} Result: [W5   , 0016, 5115860070               , 300, 1200, 600, 0, 0, 2592, SH1 ,     , KW5016    , 20100, W5-0016  , 20140523, 20140523]
2014-07-24 15:08:28 [main:737] - [DEBUG] {rset-100002} Result: [W5   , 0017, 5115960030               , 40, 2320, 1480, 120, 0, 2592, SH1 ,     , KW5017    , 42160, W5-0017  , 20140523, 20140523]
2014-07-24 15:08:28 [main:738] - [DEBUG] {rset-100002} Result: [W5   , 0018, 5116760030               , 300, 1200, 600, 0, 0, 2592, SH1 ,     , KW5018    , 20100, W5-0018  , 20140523, 20140523]
